date,value,type
2025-06-01 00:00:00,5550.32,income
2025-06-23 00:00:00,9790.81,expense
2025-10-26 00:00:00,7239.24,expense
2025-05-27 00:00:00,3898.55,expense
2025-03-20 00:00:00,5865.89,expense
2025-07-23 00:00:00,6849.82,income
2025-12-13 00:00:00,3968.56,income
4/21/2025,210.91,expense
2025-01-31 00:00:00,9506.42,income
2025-03-20 00:00:00,1091.78,income
2025-06-18 00:00:00,8178.4,expense
2025-04-18 00:00:00,1343.8,expense
2025-10-25 00:00:00,2557.19,income
2025-04-16 00:00:00,6218.29,expense
2025-10-14 00:00:00,6746.04,expense
2025-10-05 00:00:00,2291.13,expense
2025-09-19 00:00:00,4332.69,income
2025-06-19 00:00:00,5243.18,income
2025-06-25 00:00:00,5304.56,income
2025-10-20 00:00:00,2334.59,expense
2025-09-03 00:00:00,5048.92,expense
2025-01-01 00:00:00,4028.11,expense
2025-10-19 00:00:00,5087.97,expense
2025-11-07 00:00:00,8925.35,expense
2025-06-23 00:00:00,9890.17,income
2025-05-22 00:00:00,4149.47,income
2025-04-07 00:00:00,4024.72,expense
2025-09-11 00:00:00,4938.88,income
2025-11-09 00:00:00,8635.23,income
2025-05-14 00:00:00,6757.87,expense
2025-12-12 00:00:00,2027.39,income
2025-11-19 00:00:00,2851.54,expense
2025-02-25 00:00:00,4462.57,income
2025-09-02 00:00:00,2580.19,income
2025-07-10 00:00:00,3295.63,expense
6/23/2025,232.02,expense
2025-07-11 00:00:00,8379.89,income
6/16/2025,237.5,expense
2025-04-03 00:00:00,2282.43,income
2025-01-06 00:00:00,7232.03,income
2025-08-10 00:00:00,5072.27,income
2025-06-29 00:00:00,7823.99,income
2/22/2025,290.3,expense
2025-10-17 00:00:00,7428.93,income
2025-10-27 00:00:00,7608.46,income
2025-03-01 00:00:00,6504.2,income
2025-07-28 00:00:00,5234.36,income
2025-09-08 00:00:00,4847.23,income
2/17/2025,263.62,expense
2025-04-19 00:00:00,5668.8,income
2025-02-10 00:00:00,2048.37,income
2025-06-13 00:00:00,6032.8,income
2025-05-13 00:00:00,6033.75,income
2025-04-11 00:00:00,3782.63,income
2025-05-05 00:00:00,1282.72,income
2025-06-28 00:00:00,1613.89,expense
2025-09-04 00:00:00,1803.6,income
2025-11-25 00:00:00,8084.99,expense
2025-05-05 00:00:00,8574.45,income
2025-08-28 00:00:00,4706.62,expense
2025-05-09 00:00:00,6645.5,income
2025-06-20 00:00:00,5961.48,income
2025-07-10 00:00:00,8314.59,expense
2025-04-05 00:00:00,6318.02,expense
2025-04-05 00:00:00,9667.36,expense
2025-02-12 00:00:00,7759.32,expense
2025-01-06 00:00:00,8854.15,income
2025-06-28 00:00:00,6627.84,income
2025-12-29 00:00:00,5706.62,expense
2025-08-11 00:00:00,2967.42,expense
2025-03-18 00:00:00,9490.85,expense
2025-04-11 00:00:00,7161.38,expense
2025-12-08 00:00:00,1129.91,expense
2025-03-28 00:00:00,9248.1,expense
2025-03-16 00:00:00,7513.81,expense
2025-07-02 00:00:00,1817.65,expense
2025-10-20 00:00:00,6329.57,income
2/24/2025,263.3,expense
2025-07-27 00:00:00,5036.03,expense
2025-06-02 00:00:00,2458.76,income
2025-01-19 00:00:00,8491.22,income
2025-03-02 00:00:00,6589.83,expense
2025-07-12 00:00:00,7365.18,income
2025-03-05 00:00:00,3411.89,expense
2025-11-03 00:00:00,2886.43,expense
2025-07-09 00:00:00,3359.81,income
2025-06-28 00:00:00,1833.3,expense
2025-03-13 00:00:00,9332.12,expense
2025-12-25 00:00:00,4993.77,income
2025-03-19 00:00:00,2922.78,income
2025-08-30 00:00:00,3772.04,income
2025-07-22 00:00:00,4478.66,expense
2025-10-07 00:00:00,7170.09,expense
2025-08-07 00:00:00,5434.64,expense
2025-07-02 00:00:00,9887.23,income
2025-10-08 00:00:00,4719.31,expense
2025-12-09 00:00:00,5479.57,income
2025-05-13 00:00:00,2635.9,expense
2025-04-04 00:00:00,2106.54,income
2025-10-16 00:00:00,5412.46,income
5/12/2025,226.23,expense
2025-05-21 00:00:00,2097.04,expense
2025-02-15 00:00:00,2534.42,expense
2025-07-30 00:00:00,1743.7,expense
2025-01-29 00:00:00,2539.17,expense
2025-01-30 00:00:00,9219.58,expense
2025-06-06 00:00:00,8286.9,expense
3/18/2025,223.52,expense
2025-11-21 00:00:00,9995.41,expense
2025-08-27 00:00:00,3983.61,income
2025-01-05 00:00:00,6531.92,income
2025-06-21 00:00:00,1200.7,expense
2025-09-13 00:00:00,3770.69,expense
2025-12-20 00:00:00,8508.19,income
2025-09-07 00:00:00,6736.52,income
2025-03-02 00:00:00,2142.2,income
2025-12-22 00:00:00,4723.07,expense
2025-11-18 00:00:00,9008.86,income
2025-06-08 00:00:00,7311.08,income
2025-05-29 00:00:00,9455.12,income
2025-05-08 00:00:00,1690.33,income
2025-06-04 00:00:00,7492.11,expense
2025-01-28 00:00:00,6419.82,income
2025-02-24 00:00:00,9294.88,income
2025-07-25 00:00:00,4912.42,expense
2025-02-28 00:00:00,6167.89,expense
2025-12-12 00:00:00,6073.29,income
2025-07-09 00:00:00,5431.29,income
2025-03-05 00:00:00,6601.35,expense
2025-10-05 00:00:00,1149.24,income
2025-05-09 00:00:00,8610.12,expense
2025-07-24 00:00:00,7352.63,income
2025-03-14 00:00:00,4545.54,income
2025-04-19 00:00:00,1096.32,income
2025-12-01 00:00:00,1225.03,expense
2025-05-09 00:00:00,1489.41,expense
2025-04-08 00:00:00,7738.67,income
2025-02-11 00:00:00,9271.33,expense
2025-10-09 00:00:00,8688.11,expense
2025-12-06 00:00:00,5343.69,expense
2025-09-30 00:00:00,4936.07,expense
2025-03-19 00:00:00,6538.48,expense
2025-12-19 00:00:00,3441.71,income
2025-01-10 00:00:00,7749.25,income
2025-07-22 00:00:00,5999.15,income
2025-07-25 00:00:00,6664.63,income
2025-11-27 00:00:00,7220.73,expense
2025-05-16 00:00:00,7120.09,income
2025-01-29 00:00:00,2106.12,expense
2025-08-29 00:00:00,6775.9,income
2025-03-08 00:00:00,3486.21,income
2025-09-18 00:00:00,2948.68,income
2025-05-31 00:00:00,6899.88,expense
2025-05-15 00:00:00,2322.97,income
2025-08-04 00:00:00,3107.28,income
2025-04-08 00:00:00,4146.23,income
2025-03-02 00:00:00,3210.25,expense
2025-09-24 00:00:00,1353.12,expense
2025-03-07 00:00:00,1994.13,expense
2025-06-19 00:00:00,7183.26,income
2025-11-28 00:00:00,4602.58,income
2025-10-25 00:00:00,9560.14,expense
2025-08-10 00:00:00,2919.83,income
2025-06-10 00:00:00,2472.85,expense
2025-09-14 00:00:00,3849.13,expense
2025-01-18 00:00:00,9144.61,income
2025-07-30 00:00:00,7762.17,expense
2025-03-15 00:00:00,3184.06,income
2025-10-14 00:00:00,1936.79,income
2025-09-20 00:00:00,7113.79,income
2025-03-26 00:00:00,1053.67,income
2025-04-26 00:00:00,4290.48,expense
2025-09-05 00:00:00,7828.6,expense
2025-05-20 00:00:00,8957.3,income
2025-03-10 00:00:00,1577.49,income
2025-06-05 00:00:00,9895.58,income
2025-01-07 00:00:00,8860.62,income
2025-05-27 00:00:00,2007.53,expense
2025-07-16 00:00:00,9113.26,income
2025-01-09 00:00:00,6887.09,expense
2025-09-06 00:00:00,9987.55,expense
2025-01-31 00:00:00,5272.93,expense
2025-07-26 00:00:00,9939.3,expense
2025-07-01 00:00:00,8625.77,expense
2025-12-10 00:00:00,3476.44,expense
2025-08-08 00:00:00,1942.55,expense
2025-01-10 00:00:00,6149.59,income
2025-08-28 00:00:00,2076.29,income
2025-10-08 00:00:00,2604.93,expense
2025-06-23 00:00:00,5135.78,expense
2025-08-29 00:00:00,1092.73,expense
2025-05-30 00:00:00,1196.62,expense
2025-03-30 00:00:00,5023.54,income
2025-04-30 00:00:00,6675.57,expense
2025-12-05 00:00:00,7646.69,expense
2025-07-19 00:00:00,3581.9,income
2025-05-10 00:00:00,7473.9,income
2025-10-13 00:00:00,5590.02,expense
2025-03-17 00:00:00,4262.18,income
2025-07-29 00:00:00,8688.25,expense
2025-02-24 00:00:00,6080.63,income
2025-01-13 00:00:00,7552.41,income
2025-05-31 00:00:00,6653.12,income
2025-08-02 00:00:00,5592.88,expense
2025-08-28 00:00:00,3563.25,income
2025-07-31 00:00:00,7319.59,expense
2025-07-07 00:00:00,6645.92,expense
2025-06-13 00:00:00,5930.46,income
2025-03-13 00:00:00,7060.97,expense
2025-12-27 00:00:00,6754.96,income
2025-02-03 00:00:00,7658.22,income
2025-03-24 00:00:00,2578.03,expense
2025-04-16 00:00:00,4204.38,income
2025-11-15 00:00:00,3305.37,income
2025-08-02 00:00:00,3903.23,income
2025-08-24 00:00:00,9465.62,income
2025-10-12 00:00:00,4475.75,income
2025-02-22 00:00:00,7637.37,income
2025-12-04 00:00:00,9239.61,expense
2025-06-23 00:00:00,3534.74,expense
2025-08-04 00:00:00,9607.8,income
2025-10-29 00:00:00,7185.72,expense
2025-08-09 00:00:00,8961.29,expense
2025-11-07 00:00:00,5670.1,expense
2025-12-16 00:00:00,5980.68,income
2025-06-10 00:00:00,7472.47,income
2025-05-24 00:00:00,5676.0,expense
2025-11-20 00:00:00,5796.97,income
3/26/2025,213.55,expense
2025-05-23 00:00:00,5407.83,expense
2025-09-22 00:00:00,6278.18,income
2025-02-23 00:00:00,5193.11,expense
2025-02-12 00:00:00,3196.68,expense
2025-02-01 00:00:00,2825.22,expense
2025-03-31 00:00:00,7125.05,income
2025-07-11 00:00:00,2825.46,income
2025-08-27 00:00:00,5410.17,income
2025-01-19 00:00:00,6128.45,expense
2025-02-02 00:00:00,2084.2,income
2025-05-30 00:00:00,6489.77,income
2025-06-25 00:00:00,7409.8,income
2025-09-27 00:00:00,7017.0,income
2025-08-14 00:00:00,4332.94,income
2025-07-05 00:00:00,7035.29,income
2025-02-24 00:00:00,3665.25,income
2025-03-14 00:00:00,6934.66,expense
2025-03-20 00:00:00,3264.36,income
2025-11-19 00:00:00,1529.55,income
2025-04-07 00:00:00,3570.43,income
2025-05-14 00:00:00,4549.22,expense
2025-12-08 00:00:00,8231.21,income
4/28/2025,219.66,expense
2025-10-02 00:00:00,2412.41,income
2025-01-12 00:00:00,4798.27,income
2025-10-31 00:00:00,7306.26,expense
2025-06-15 00:00:00,5593.56,expense
2025-12-07 00:00:00,9360.47,expense
2025-07-17 00:00:00,7136.38,expense
2025-08-03 00:00:00,1419.55,income
2025-01-16 00:00:00,9060.74,expense
2025-04-07 00:00:00,5184.24,income
2025-10-26 00:00:00,9577.67,income
2025-03-26 00:00:00,2355.1,expense
2025-08-10 00:00:00,9898.46,income
2025-05-06 00:00:00,3832.67,expense
2025-01-21 00:00:00,7031.13,income
2025-04-26 00:00:00,8815.19,expense
2025-11-23 00:00:00,1935.39,income
2025-05-31 00:00:00,9107.11,expense
2025-06-05 00:00:00,3105.65,income
2025-11-20 00:00:00,2543.83,expense
2025-03-07 00:00:00,7719.32,expense
2025-11-15 00:00:00,1866.02,income
2025-07-23 00:00:00,6394.48,expense
2025-09-01 00:00:00,8709.05,income
2025-06-23 00:00:00,4730.38,income
2025-10-30 00:00:00,2551.37,income
2025-05-12 00:00:00,7233.83,expense
2025-12-20 00:00:00,4004.87,income
2025-12-30 00:00:00,7026.71,income
2025-01-11 00:00:00,5478.18,expense
2025-10-11 00:00:00,7721.77,expense
2025-08-22 00:00:00,5613.29,expense
2025-04-13 00:00:00,3421.71,income
2025-07-03 00:00:00,9269.01,expense
2025-11-26 00:00:00,6605.22,expense
2025-01-08 00:00:00,3178.67,expense
2025-02-01 00:00:00,9328.15,expense
2025-03-16 00:00:00,1915.0,expense
2025-07-04 00:00:00,1620.43,income
4/24/2025,262.03,expense
2025-08-30 00:00:00,4046.41,income
2025-10-24 00:00:00,1739.74,expense
2025-05-22 00:00:00,2095.52,expense
2025-07-24 00:00:00,9287.72,income
2025-07-13 00:00:00,7512.94,income
2025-12-24 00:00:00,4058.75,expense
2025-12-11 00:00:00,8525.99,income
2025-11-14 00:00:00,1355.22,expense
2025-11-01 00:00:00,1175.87,expense
2025-11-03 00:00:00,6604.83,income
2025-04-02 00:00:00,9259.94,expense
2025-09-01 00:00:00,5776.12,expense
2025-02-27 00:00:00,8259.16,expense
2025-04-29 00:00:00,8593.0,income
2025-12-23 00:00:00,5608.88,expense
2025-03-05 00:00:00,4071.06,expense
2025-03-05 00:00:00,8900.47,expense
2025-01-17 00:00:00,3809.28,income
2025-10-29 00:00:00,3370.94,expense
2025-08-25 00:00:00,7663.6,income
2025-06-16 00:00:00,8648.39,expense
2025-11-04 00:00:00,3222.02,income
2025-02-19 00:00:00,3518.38,expense
2025-09-21 00:00:00,8678.55,income
2025-10-18 00:00:00,2186.33,income
2025-09-20 00:00:00,8360.67,income
2025-03-04 00:00:00,6624.34,expense
2025-05-11 00:00:00,9849.33,expense
6/21/2025,262.59,expense
2025-06-03 00:00:00,9460.03,expense
2025-03-19 00:00:00,2187.23,income
2025-03-10 00:00:00,8254.5,expense
2025-03-22 00:00:00,3054.32,expense
2025-09-13 00:00:00,7551.02,income
2025-07-09 00:00:00,3017.1,income
2025-10-23 00:00:00,6074.97,expense
2025-12-04 00:00:00,4523.31,income
2025-04-07 00:00:00,8223.58,expense
2025-12-01 00:00:00,8205.16,income
2025-10-23 00:00:00,8910.05,income
2025-01-07 00:00:00,9778.71,income
2025-08-17 00:00:00,6710.56,expense
2025-08-02 00:00:00,5250.49,income
2025-03-30 00:00:00,9210.84,income
2025-10-17 00:00:00,6576.41,expense
2025-04-21 00:00:00,1242.8,income
2/7/2025,225.86,expense
2025-10-25 00:00:00,4686.59,expense
2025-12-06 00:00:00,7092.02,income
2025-01-22 00:00:00,1317.25,expense
2025-08-07 00:00:00,9319.64,income
2025-03-21 00:00:00,8071.18,income
2025-05-31 00:00:00,7778.58,income
2025-09-15 00:00:00,9447.48,income
2025-06-29 00:00:00,7657.53,income
2025-06-30 00:00:00,4818.98,income
2025-03-02 00:00:00,5182.16,expense
2025-07-30 00:00:00,3083.58,income
2025-02-07 00:00:00,4591.4,income
2025-08-05 00:00:00,9921.91,expense
2025-10-06 00:00:00,2124.47,income
2025-10-03 00:00:00,2702.54,expense
2025-03-22 00:00:00,3059.41,expense
2025-08-01 00:00:00,3146.63,expense
2025-10-21 00:00:00,9651.22,expense
2025-06-06 00:00:00,2145.66,expense
2025-05-23 00:00:00,1132.54,income
2025-03-15 00:00:00,1710.05,income
2025-11-09 00:00:00,6475.89,expense
2025-02-27 00:00:00,5421.36,income
2025-02-24 00:00:00,7411.42,income
2025-07-10 00:00:00,3623.59,income
2025-01-04 00:00:00,5008.53,income
1/1/2025,233.66,expense
2025-10-06 00:00:00,4534.34,income
2025-08-19 00:00:00,6956.48,income
2025-09-05 00:00:00,3665.53,expense
2025-01-07 00:00:00,3701.09,expense
2025-04-19 00:00:00,9089.32,expense
2025-04-10 00:00:00,9778.46,income
2025-11-25 00:00:00,7977.1,expense
2025-07-25 00:00:00,4198.3,expense
2025-01-16 00:00:00,5853.44,expense
2025-10-10 00:00:00,2099.63,income
2025-07-22 00:00:00,4359.05,income
2025-05-01 00:00:00,2676.29,income
2025-12-11 00:00:00,1260.86,income
6/26/2025,228.28,expense
2025-02-13 00:00:00,4883.19,income
2025-05-09 00:00:00,6683.35,expense
2025-04-20 00:00:00,5442.1,expense
2025-06-20 00:00:00,3914.61,income
2025-08-26 00:00:00,1810.04,expense
2025-01-31 00:00:00,3724.72,expense
2025-11-22 00:00:00,1326.92,income
2025-09-04 00:00:00,6688.12,expense
2025-11-26 00:00:00,4914.47,income
2025-04-23 00:00:00,6489.29,income
2025-08-08 00:00:00,9147.74,expense
2025-12-13 00:00:00,1036.4,expense
2025-04-16 00:00:00,8664.3,expense
2025-04-27 00:00:00,4889.73,income
2025-12-29 00:00:00,9617.9,income
2025-05-30 00:00:00,9170.74,expense
2025-09-01 00:00:00,8677.87,expense
2025-06-13 00:00:00,9136.56,income
2025-04-08 00:00:00,9439.11,expense
1/17/2025,216.45,expense
2025-03-11 00:00:00,3807.63,expense
2025-04-28 00:00:00,8331.51,expense
2025-12-15 00:00:00,7604.47,income
2025-07-05 00:00:00,9778.99,expense
2025-02-26 00:00:00,9097.55,income
3/13/2025,239.66,expense
2025-12-16 00:00:00,3194.9,expense
2025-09-27 00:00:00,6320.3,income
2025-10-22 00:00:00,8618.37,income
2025-07-12 00:00:00,3524.74,expense
2025-02-04 00:00:00,3885.34,expense
2025-04-20 00:00:00,2999.28,expense
2025-12-25 00:00:00,7026.41,income
2025-05-06 00:00:00,1563.74,expense
2025-03-11 00:00:00,5816.95,expense
2025-11-02 00:00:00,3444.19,income
2025-01-07 00:00:00,7730.65,expense
2025-10-16 00:00:00,5889.48,expense
2025-11-01 00:00:00,6756.55,expense
2025-12-18 00:00:00,4427.8,income
2025-06-09 00:00:00,4960.03,income
2025-07-12 00:00:00,1435.04,expense
2025-05-16 00:00:00,3426.62,income
2025-04-28 00:00:00,5982.67,income
2025-07-17 00:00:00,5908.18,expense
2025-05-21 00:00:00,1159.1,income
2025-04-01 00:00:00,8807.02,expense
2025-05-25 00:00:00,6535.63,income
2025-02-22 00:00:00,6663.74,income
2025-09-11 00:00:00,1884.71,expense
2025-11-02 00:00:00,5102.95,income
2025-01-01 00:00:00,8777.67,expense
2025-02-12 00:00:00,7799.31,income
2025-07-28 00:00:00,4946.48,income
2025-07-14 00:00:00,2917.8,expense
2025-06-10 00:00:00,7751.27,expense
2025-03-11 00:00:00,5833.53,income
2025-04-23 00:00:00,1647.3,income
2025-10-01 00:00:00,3378.47,income
2025-01-17 00:00:00,8122.31,expense
2025-11-22 00:00:00,9062.26,expense
2025-01-28 00:00:00,8636.47,expense
2025-05-06 00:00:00,4583.72,income
2025-11-06 00:00:00,9004.18,income
2025-09-06 00:00:00,7505.17,income
4/1/2025,234.43,expense
2025-01-09 00:00:00,1004.16,income
2025-12-04 00:00:00,2945.65,income
2025-02-12 00:00:00,1490.07,expense
2025-11-26 00:00:00,2687.96,expense
2025-03-31 00:00:00,4828.28,income
2025-08-12 00:00:00,6025.23,expense
2025-05-07 00:00:00,5257.85,expense
2025-07-27 00:00:00,3837.8,income
2025-09-10 00:00:00,3352.49,income
2025-02-24 00:00:00,9905.8,expense
2025-01-09 00:00:00,8672.76,expense
2025-05-31 00:00:00,6916.03,expense
2025-11-16 00:00:00,7697.24,income
2025-07-13 00:00:00,6834.69,expense
2025-11-12 00:00:00,7875.39,expense
